customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk
0150-LBAJZ,2021-08-27,Paid,2022-08-27,Premium,Monthly,2022-09-19,Too expensive,13.99,1189,71,1,keshav,Germany,Bavaria,Male,1980-10-01,,0,,,388.0,high
0151-KOBWB,2020-06-29,Refferal,2022-06-29,Premium,Annual,,,19.99,855,49,0,pooja,Canada,Quebec,Female,2001-03-11,2022-02-09,1,60.0,1.0,2253.0,low
0152-WVUTL,2024-02-21,Paid,2025-02-20,Basic,Monthly,,,9.99,170,4,0,daniel,Germany,Berlin,Male,1975-01-18,2024-12-26,1,10.0,1.0,921.0,low
0153-EWQOK,2024-05-11,Refferal,2028-05-10,Standard,Monthly,,,13.99,747,64,0,rohan,Australia,Victoria,Male,2001-06-21,,0,,,841.0,med
0154-XWIHD,2022-05-14,Paid,2023-05-14,Basic,Annual,,,19.99,2650,38,0,priya,Australia,Victoria,Female,1993-08-15,,0,,,1569.0,low
0155-SPWAI,2020-12-26,Paid,2021-12-26,Basic,Annual,,,19.99,1009,57,0,divya,India,Delhi,Female,1985-08-21,,0,,,2073.0,med
0156-ZZGZO,2020-01-11,Refferal,2023-01-10,Basic,Monthly,2023-01-18,Switched to competitor,19.99,1260,95,1,daniel,USA,Texas,Male,1983-02-04,2022-09-06,1,40.0,1.0,1103.0,high
0157-QARPV,2021-06-01,Organic,2023-06-01,Basic,Monthly,,,12.99,2985,27,0,pooja,Australia,Victoria,Female,1998-09-05,,0,,,1916.0,low
0158-WDHLR,2024-05-11,Refferal,2026-05-11,Basic,Monthly,2026-06-04,Switched to competitor,13.99,1346,99,1,pooja,USA,California,Female,1990-10-15,2026-03-09,0,60.0,1.0,754.0,high
0159-TFRKM,2021-09-02,Refferal,2024-09-01,Standard,Annual,,,6.99,1508,9,0,rahul,Australia,Victoria,Male,1995-05-02,,0,,,1823.0,low
0160-SBMUJ,2022-06-08,Paid,2026-06-07,Standard,Monthly,,,19.99,1842,4,0,sneha,Australia,Victoria,Female,1972-12-29,2025-08-27,1,40.0,1.0,1544.0,low
0161-FWMAQ,2023-01-09,Refferal,2027-01-08,Basic,Annual,,,6.99,482,42,0,neha,Canada,Ontario,Female,1977-02-02,2026-11-29,0,100.0,1.0,1329.0,low
0162-RVEUG,2024-02-14,Refferal,2027-02-13,Standard,Annual,2027-03-20,Too expensive,12.99,1967,99,1,divya,USA,Texas,Female,1989-11-11,,0,,,1130.0,high
0163-XIXNM,2021-05-24,Refferal,2024-05-23,Standard,Annual,2024-06-08,Too expensive,19.99,1289,72,1,keshav,Australia,Victoria,Male,1994-07-13,2023-08-14,1,60.0,1.0,1111.0,high
0164-MJEDP,2024-08-21,Paid,2028-08-20,Standard,Monthly,,,9.99,998,64,0,rahul,India,Delhi,Male,1971-08-19,,0,,,739.0,med
0165-BAPJZ,2024-03-25,Organic,2028-03-24,Standard,Monthly,,,12.99,1473,14,0,meera,USA,Texas,Female,1975-09-16,2027-10-21,0,60.0,1.0,888.0,low
0166-DAMMJ,2020-01-22,Organic,2021-01-21,Basic,Monthly,,,6.99,610,95,0,rohan,Germany,Bavaria,Male,1982-11-25,2020-07-12,1,20.0,1.0,2412.0,high
0167-NASAV,2020-04-30,Paid,2022-04-30,Basic,Monthly,,,6.99,2372,77,0,daniel,Germany,Berlin,Male,1989-05-30,2022-01-25,1,20.0,1.0,2313.0,high
0168-QXROD,2022-01-02,Refferal,2026-01-01,Standard,Annual,,,9.99,2462,40,0,priya,USA,California,Female,1988-07-26,2025-10-10,1,100.0,1.0,1701.0,low
0169-DOHQE,2023-10-09,Paid,2024-10-08,Basic,Monthly,,,12.99,1682,20,0,rohan,India,Tamil Nadu,Male,1977-04-17,,0,,,1056.0,low
0170-DDYEZ,2021-11-20,Paid,2022-11-20,Basic,Monthly,,,12.99,1813,16,0,meera,Germany,Berlin,Female,1987-06-30,2022-02-07,0,80.0,1.0,1744.0,low
0171-HUQOY,2023-01-08,Paid,2025-01-07,Basic,Annual,,,19.99,266,25,0,arjun,Australia,Victoria,Male,1996-03-30,,0,,,1330.0,low
0172-QCMIS,2023-05-28,Refferal,2024-05-27,Standard,Annual,,,19.99,903,78,0,manish,Canada,Quebec,Male,1992-11-20,2023-12-27,0,10.0,1.0,1190.0,high
0173-BCIWH,2022-10-16,Paid,2023-10-16,Standard,Annual,,,9.99,2906,10,0,aarav,Germany,Berlin,Male,1974-05-19,,0,,,1414.0,low
0174-FSMAD,2020-10-12,Paid,2023-10-12,Premium,Annual,,,19.99,1869,8,0,sophia,Canada,Ontario,Female,1977-05-19,,0,,,2148.0,low
0175-ABOQF,2021-02-13,Organic,2024-02-13,Standard,Annual,,,6.99,802,61,0,keshav,India,Gujarat,Male,1980-03-18,2023-09-20,0,60.0,1.0,2024.0,med
0176-AXQNU,2024-10-21,Organic,2026-10-21,Standard,Annual,,,6.99,1608,17,0,sneha,Germany,Bavaria,Female,1980-06-07,2026-03-18,1,60.0,1.0,678.0,low
0177-IFQXC,2020-10-30,Refferal,2021-10-30,Standard,Monthly,,,9.99,491,58,0,ananya,Australia,Victoria,Female,1976-06-02,,0,,,2130.0,med
0178-TIPPH,2021-12-12,Organic,2024-12-11,Standard,Annual,,,13.99,2185,66,0,kavya,Canada,Ontario,Female,1990-02-14,2024-03-19,1,40.0,1.0,1722.0,med
0179-ZKQDO,2022-11-17,Organic,2023-11-17,Standard,Monthly,,,19.99,2369,5,0,rohan,India,Karnataka,Male,1981-07-12,,0,,,1382.0,low
0180-MNQMJ,2022-11-06,Paid,2024-11-05,Premium,Monthly,,,6.99,1187,93,0,meera,Canada,Quebec,Female,1990-10-11,,0,,,1393.0,high
0181-SRGUD,2024-03-02,Organic,2026-03-02,Standard,Annual,,,12.99,300,60,0,vikram,India,Gujarat,Male,1989-12-10,,0,,,911.0,med
0182-VACVL,2022-10-16,Paid,2023-10-16,Standard,Monthly,2023-12-14,Too expensive,6.99,2303,82,1,priya,Germany,Berlin,Female,1986-02-18,2023-04-10,0,40.0,1.0,424.0,high
0183-CEHMQ,2024-03-06,Paid,2026-03-06,Premium,Monthly,,,6.99,691,93,0,kavya,USA,California,Female,1996-10-01,2025-07-15,0,40.0,1.0,907.0,high
0184-EKVPM,2021-12-12,Organic,2024-12-11,Premium,Annual,,,19.99,360,72,0,rahul,USA,Florida,Male,1997-09-03,,0,,,1722.0,high
0185-KNOEQ,2022-09-12,Organic,2024-09-11,Basic,Monthly,,,13.99,769,50,0,kavya,Australia,NSW,Female,1998-01-09,,0,,,1448.0,med
0186-WWKHZ,2022-08-26,Organic,2023-08-26,Standard,Monthly,2023-08-27,Switched to competitor,13.99,1975,93,1,sophia,Germany,Bavaria,Female,1995-01-17,,0,,,366.0,high
0187-DZVUX,2022-02-03,Paid,2024-02-03,Premium,Annual,2024-02-19,Switched to competitor,9.99,1372,94,1,keshav,Canada,Quebec,Male,1993-06-13,,0,,,746.0,high
0188-QMINC,2022-12-17,Refferal,2026-12-16,Basic,Monthly,,,12.99,2036,41,0,rahul,Germany,Bavaria,Male,2001-05-03,2026-02-25,1,10.0,1.0,1352.0,low
0189-CCJYQ,2023-07-30,Refferal,2027-07-29,Premium,Monthly,,,6.99,1963,7,0,aarav,Australia,NSW,Male,1996-12-11,,0,,,1127.0,low
0190-QZADK,2021-03-09,Paid,2024-03-08,Basic,Annual,,,13.99,1214,86,0,meera,Canada,Ontario,Female,1996-10-20,2024-01-09,1,60.0,1.0,2000.0,high
0191-KMLBM,2024-06-09,Refferal,2027-06-09,Standard,Annual,,,9.99,1350,2,0,divya,Germany,Berlin,Female,1985-10-25,2027-04-21,1,40.0,1.0,812.0,low
0192-TSFIR,2021-05-17,Organic,2024-05-16,Basic,Monthly,,,9.99,1992,16,0,neha,Australia,Victoria,Female,1986-12-03,2023-09-02,0,10.0,1.0,1931.0,low
0193-YKDBF,2023-04-06,Paid,2026-04-05,Premium,Annual,,,12.99,1502,76,0,keshav,Germany,Bavaria,Male,1984-11-07,2025-12-11,0,40.0,1.0,1242.0,high
0194-IISFC,2023-02-01,Organic,2026-01-31,Standard,Monthly,2026-02-03,Moved away,19.99,454,75,1,meera,Canada,Ontario,Female,1997-08-19,2025-07-18,0,20.0,1.0,1098.0,high
0195-DOBQP,2024-03-06,Refferal,2026-03-06,Standard,Monthly,,,9.99,2411,57,0,rohan,Germany,Bavaria,Male,1993-03-22,2025-10-15,1,20.0,1.0,907.0,med
0196-BBZAN,2021-01-14,Refferal,2023-01-14,Basic,Annual,,,9.99,2892,83,0,ananya,Germany,Bavaria,Female,1976-10-13,,0,,,2054.0,high
0197-WJRTT,2021-10-03,Paid,2024-10-02,Basic,Monthly,,,19.99,1891,55,0,nikhil,Canada,Ontario,Male,1986-06-05,,0,,,1792.0,med
0198-HYYYU,2023-05-21,Organic,2026-05-20,Premium,Annual,2026-07-18,Switched to competitor,13.99,976,84,1,priya,USA,California,Female,1977-01-08,2026-02-28,0,100.0,1.0,1154.0,high
0199-SXENK,2020-01-06,Paid,2024-01-05,Basic,Monthly,,,9.99,673,41,0,sophia,Canada,Quebec,Female,1985-09-26,,0,,,2428.0,low
0200-YZLXR,2020-01-30,Refferal,2024-01-29,Standard,Monthly,,,19.99,1544,13,0,neha,Germany,Berlin,Female,1995-02-26,,0,,,2404.0,low
0201-EFQTX,2020-12-29,Refferal,2022-12-29,Premium,Monthly,2023-01-17,Too expensive,6.99,1198,82,1,neha,Germany,Bavaria,Female,1994-05-13,2022-04-09,1,60.0,1.0,749.0,high
0202-GJWXG,2020-03-18,Paid,2023-03-18,Premium,Monthly,,,19.99,567,65,0,vikram,USA,Texas,Male,1987-11-13,2022-12-28,1,10.0,1.0,2356.0,med
0203-PRGDH,2022-08-11,Paid,2025-08-10,Premium,Monthly,,,9.99,799,34,0,manish,USA,California,Male,1970-09-11,,0,,,1480.0,low
0204-EJADZ,2024-07-09,Refferal,2027-07-09,Premium,Annual,,,19.99,2839,31,0,daniel,Australia,Victoria,Male,1976-03-21,,0,,,782.0,low
0205-BXEEA,2020-09-23,Paid,2022-09-23,Basic,Monthly,2022-10-03,Too expensive,12.99,2998,75,1,aarav,Germany,Berlin,Male,1978-02-01,,0,,,740.0,high
0206-FJPWQ,2022-06-15,Organic,2025-06-14,Premium,Monthly,,,6.99,743,47,0,sophia,Australia,Victoria,Female,1999-04-24,2025-03-27,1,100.0,1.0,1537.0,low
0207-SCFCK,2023-10-01,Refferal,2025-09-30,Standard,Monthly,,,13.99,200,87,0,manish,USA,California,Male,1990-02-25,2025-03-22,0,10.0,1.0,1064.0,high
0208-ACSBR,2021-10-23,Organic,2023-10-23,Basic,Annual,,,12.99,2202,25,0,rahul,Australia,NSW,Male,1990-03-29,,0,,,1772.0,low
0209-TZCCI,2020-11-06,Organic,2023-11-06,Standard,Monthly,,,12.99,2725,64,0,ananya,India,Gujarat,Female,1976-12-24,,0,,,2123.0,med
0210-RDSNZ,2023-05-18,Paid,2024-05-17,Basic,Annual,2024-06-03,Switched to competitor,19.99,277,86,1,meera,Germany,Berlin,Female,1975-11-23,2024-01-02,1,100.0,1.0,382.0,high
0211-ZEFEW,2024-01-11,Refferal,2025-01-10,Standard,Annual,,,19.99,2238,24,0,rohan,Canada,Quebec,Male,1971-10-03,2024-07-31,1,20.0,1.0,962.0,low
0212-GTRWF,2023-11-29,Organic,2024-11-28,Standard,Monthly,,,13.99,2351,19,0,daniel,Canada,Ontario,Male,1978-06-15,2024-04-09,1,20.0,1.0,1005.0,low
0213-QJQWS,2022-11-07,Organic,2024-11-06,Basic,Monthly,,,9.99,762,47,0,priya,Canada,Quebec,Female,1980-05-07,,0,,,1392.0,low
0214-RSPKZ,2022-06-10,Organic,2025-06-09,Basic,Monthly,,,9.99,1504,42,0,james,USA,Florida,Male,1973-05-12,2024-12-02,0,80.0,1.0,1542.0,low
0215-YIVMO,2021-08-23,Organic,2023-08-23,Premium,Annual,,,9.99,941,53,0,sophia,India,Tamil Nadu,Female,1995-10-25,,0,,,1833.0,med
0216-DWLUY,2024-07-26,Refferal,2028-07-25,Premium,Annual,,,12.99,590,10,0,neha,India,Maharashtra,Female,1975-02-14,,0,,,765.0,low
0217-JQGAO,2020-08-19,Organic,2023-08-19,Premium,Annual,,,9.99,1710,9,0,divya,USA,Florida,Female,1978-02-10,,0,,,2202.0,low
0218-KXWHZ,2023-06-23,Refferal,2024-06-22,Basic,Monthly,,,13.99,1084,4,0,sophia,Germany,Berlin,Female,1997-10-07,2024-05-13,1,100.0,1.0,1164.0,low
0219-ZDBUR,2020-05-23,Refferal,2023-05-23,Standard,Monthly,,,13.99,437,77,0,pooja,Australia,NSW,Female,1989-10-28,2022-10-10,1,20.0,1.0,2290.0,high
0220-YZYFU,2022-01-07,Refferal,2023-01-07,Basic,Monthly,,,6.99,2626,8,0,vikram,Australia,Victoria,Male,1975-01-26,,0,,,1696.0,low
0221-DQKGM,2021-06-04,Refferal,2025-06-03,Standard,Annual,,,19.99,2981,9,0,priya,Canada,Quebec,Female,1986-03-14,2024-09-19,0,80.0,1.0,1913.0,low
0222-SLHQY,2023-12-27,Refferal,2026-12-26,Basic,Annual,,,19.99,847,97,0,aarav,Germany,Bavaria,Male,1972-08-31,2026-03-22,0,60.0,1.0,977.0,high
0223-SDCLA,2024-07-12,Organic,2026-07-12,Basic,Annual,,,6.99,1466,29,0,ananya,Australia,NSW,Female,1999-11-26,,0,,,779.0,low
0224-YOGGM,2022-08-19,Paid,2023-08-19,Basic,Annual,,,6.99,2957,16,0,kavya,USA,California,Female,1975-01-15,,0,,,1472.0,low
0225-XDPKX,2024-02-26,Paid,2028-02-25,Premium,Monthly,2028-03-20,Too expensive,9.99,1200,100,1,pooja,Germany,Berlin,Female,1971-09-13,,0,,,1484.0,high
0226-FBYBJ,2021-02-09,Organic,2025-02-08,Standard,Monthly,,,19.99,1344,36,0,aarav,Germany,Berlin,Male,1973-11-07,2024-10-28,1,10.0,1.0,2028.0,low
0227-VKQEB,2023-08-12,Refferal,2026-08-11,Basic,Monthly,,,19.99,1187,20,0,sneha,Australia,NSW,Female,1998-07-16,,0,,,1114.0,low
0228-LBKTN,2023-01-02,Paid,2025-01-01,Standard,Monthly,2025-02-24,Moved away,19.99,978,77,1,divya,Canada,Ontario,Female,1996-12-24,2024-07-02,1,60.0,1.0,784.0,high
0229-ELCFB,2023-08-27,Paid,2026-08-26,Standard,Monthly,,,9.99,337,73,0,ananya,India,Tamil Nadu,Female,1970-08-09,2025-12-14,1,60.0,1.0,1099.0,high
0230-QVMHD,2023-03-26,Organic,2026-03-25,Basic,Annual,,,19.99,1772,48,0,daniel,USA,California,Male,1974-02-13,2025-05-30,1,100.0,1.0,1253.0,low
0231-VIVJU,2020-12-09,Paid,2023-12-09,Standard,Monthly,,,13.99,2492,14,0,emily,USA,Florida,Female,1999-06-15,2023-09-11,1,80.0,1.0,2090.0,low
0232-OCFHQ,2020-01-08,Organic,2023-01-07,Premium,Monthly,2023-02-20,Switched to competitor,19.99,1202,93,1,vikram,Canada,Ontario,Male,1992-05-13,,0,,,1139.0,high
0233-EVRIK,2020-06-27,Paid,2021-06-27,Standard,Annual,,,9.99,2216,82,0,ananya,Australia,NSW,Female,1989-10-17,2020-11-24,0,10.0,1.0,2255.0,high
0234-BDGST,2020-05-04,Refferal,2023-05-04,Basic,Monthly,,,12.99,812,24,0,pooja,Germany,Bavaria,Female,1989-12-15,2022-10-13,1,40.0,1.0,2309.0,low
0235-ARSJM,2020-09-10,Refferal,2024-09-09,Premium,Annual,,,19.99,498,55,0,arjun,USA,Florida,Male,1992-08-02,,0,,,2180.0,med
0236-QXMCY,2021-09-29,Paid,2022-09-29,Standard,Annual,,,6.99,897,3,0,ananya,Germany,Berlin,Female,1970-03-18,,0,,,1796.0,low
0237-NFTDZ,2020-06-17,Refferal,2024-06-16,Premium,Monthly,,,9.99,539,2,0,rohan,Canada,Quebec,Male,1975-03-20,2024-04-23,0,80.0,1.0,2265.0,low
0238-VFQHU,2022-03-09,Refferal,2024-03-08,Premium,Monthly,,,6.99,1680,32,0,meera,India,Delhi,Female,1987-08-10,2023-09-21,1,80.0,1.0,1635.0,low
0239-XCMDJ,2024-11-20,Refferal,2027-11-20,Standard,Annual,,,12.99,2361,10,0,emily,Canada,Ontario,Female,1972-07-02,2027-10-07,0,80.0,1.0,648.0,low
0240-GVMYV,2021-10-24,Paid,2025-10-23,Premium,Annual,,,13.99,2609,37,0,aarav,Canada,Ontario,Male,1978-11-01,,0,,,1771.0,low
0241-SYPAV,2020-11-07,Paid,2022-11-07,Standard,Monthly,2022-11-09,Moved away,19.99,1428,97,1,nikhil,Canada,Quebec,Male,1999-07-13,2022-01-31,1,80.0,1.0,732.0,high
0242-WWVQJ,2020-03-24,Paid,2023-03-24,Standard,Monthly,,,13.99,476,45,0,james,USA,Florida,Male,1973-09-02,2022-09-07,1,10.0,1.0,2350.0,low
0243-PYQID,2024-01-12,Refferal,2028-01-11,Standard,Monthly,,,19.99,1294,69,0,meera,India,Gujarat,Female,1991-03-29,2027-09-10,1,80.0,1.0,961.0,med
0244-ISDYY,2023-10-01,Paid,2027-09-30,Premium,Annual,,,6.99,2916,4,0,sneha,Canada,Quebec,Female,1978-11-06,2027-08-29,1,40.0,1.0,1064.0,low
0245-LDOJE,2023-01-15,Paid,2024-01-15,Premium,Monthly,,,6.99,2733,99,0,kavya,USA,Florida,Female,1971-04-22,2023-10-16,1,60.0,1.0,1323.0,high
0246-OHUYW,2023-07-12,Organic,2026-07-11,Standard,Annual,,,9.99,1413,22,0,divya,Germany,Bavaria,Female,1984-01-21,2026-04-01,1,100.0,1.0,1145.0,low
0247-MJZOY,2020-10-14,Organic,2021-10-14,Standard,Monthly,,,9.99,552,52,0,arjun,Canada,Quebec,Male,1976-10-01,2021-03-20,1,20.0,1.0,2146.0,med
0248-LJDGM,2022-08-13,Organic,2024-08-12,Premium,Annual,,,12.99,662,23,0,ananya,Canada,Ontario,Female,1980-02-13,2024-05-25,0,40.0,1.0,1478.0,low
0249-HGVOE,2021-01-17,Organic,2025-01-16,Basic,Annual,,,13.99,846,59,0,vikram,Australia,Victoria,Male,1978-08-29,2024-05-03,1,20.0,1.0,2051.0,med
0250-PKVHW,2023-09-24,Refferal,2027-09-23,Standard,Monthly,,,13.99,1274,59,0,meera,India,Delhi,Female,1976-09-19,2027-01-22,1,60.0,1.0,1071.0,med
0251-DRGBN,2022-05-12,Organic,2026-05-11,Basic,Annual,,,19.99,1680,65,0,divya,India,Delhi,Female,1984-05-14,2025-11-17,1,40.0,1.0,1571.0,med
0252-PHXUB,2020-10-16,Paid,2024-10-15,Premium,Annual,,,13.99,781,77,0,arjun,India,Karnataka,Male,2001-04-02,,0,,,2144.0,high
0253-AWAYK,2021-08-06,Paid,2023-08-06,Premium,Monthly,,,13.99,512,53,0,meera,India,Delhi,Female,1976-12-24,,0,,,1850.0,med
0254-QARJF,2024-09-27,Organic,2028-09-26,Standard,Monthly,,,12.99,1006,54,0,ananya,USA,Texas,Female,1991-09-24,2028-03-13,0,40.0,1.0,702.0,med
0255-ICNXL,2023-08-17,Paid,2025-08-16,Standard,Annual,2025-09-25,Too expensive,9.99,850,83,1,keshav,USA,California,Male,1998-07-13,2024-11-30,0,20.0,1.0,770.0,high
0256-CZBOG,2021-09-19,Refferal,2023-09-19,Basic,Monthly,2023-10-03,Switched to competitor,12.99,2081,78,1,divya,Canada,Ontario,Female,1994-07-15,,0,,,744.0,high
0257-VDFCJ,2022-10-22,Organic,2025-10-21,Basic,Monthly,,,12.99,2150,12,0,neha,India,Karnataka,Female,1995-02-17,2025-08-23,1,40.0,1.0,1408.0,low
0258-EKLEO,2021-11-02,Refferal,2022-11-02,Basic,Annual,,,6.99,303,75,0,kavya,India,Tamil Nadu,Female,1999-12-31,,0,,,1762.0,high
0259-VZMOC,2022-02-09,Refferal,2023-02-09,Basic,Annual,,,13.99,2143,68,0,arjun,India,Gujarat,Male,1997-08-08,2022-06-18,0,60.0,1.0,1663.0,med
0260-PCYUB,2020-07-16,Refferal,2024-07-15,Standard,Annual,2024-09-12,Too expensive,13.99,849,71,1,aarav,India,Maharashtra,Male,1985-08-17,,0,,,1519.0,high
0261-XAFWM,2021-08-06,Organic,2023-08-06,Premium,Monthly,2023-10-02,Moved away,6.99,1554,95,1,vikram,Canada,Ontario,Male,1978-11-17,,0,,,787.0,high
0262-HNSCW,2022-04-04,Paid,2025-04-03,Standard,Monthly,2025-05-03,Switched to competitor,19.99,1510,81,1,meera,India,Karnataka,Female,1988-07-28,,0,,,1125.0,high
0263-CPCTM,2020-07-27,Refferal,2023-07-27,Basic,Monthly,,,19.99,2864,56,0,meera,Canada,Ontario,Female,1981-09-06,2023-06-26,1,80.0,1.0,2225.0,med
0264-OAIYP,2022-09-13,Paid,2026-09-12,Premium,Annual,,,6.99,1569,60,0,divya,Australia,Victoria,Female,1992-02-23,,0,,,1447.0,med
0265-KEIRM,2022-10-18,Refferal,2025-10-17,Basic,Monthly,,,13.99,456,36,0,rahul,Canada,Quebec,Male,1987-01-27,2025-09-01,1,100.0,1.0,1412.0,low
0266-APFXP,2023-10-22,Refferal,2025-10-21,Premium,Monthly,,,19.99,240,69,0,ananya,Germany,Bavaria,Female,1971-12-01,,0,,,1043.0,med
0267-IUZBB,2023-12-31,Refferal,2026-12-30,Premium,Monthly,,,19.99,1573,56,0,manish,Australia,NSW,Male,1980-06-19,2026-04-05,1,80.0,1.0,973.0,med
0268-YHKJJ,2020-10-14,Refferal,2023-10-14,Premium,Monthly,2023-10-29,Switched to competitor,13.99,565,80,1,nikhil,USA,Texas,Male,1989-11-09,2023-09-09,1,10.0,1.0,1110.0,high
0269-GSDFD,2020-04-03,Organic,2023-04-03,Basic,Annual,,,13.99,1248,50,0,priya,Germany,Berlin,Female,1971-07-23,,0,,,2340.0,med
0270-KGHUR,2022-03-14,Refferal,2024-03-13,Premium,Annual,,,9.99,636,65,0,emily,Australia,NSW,Female,1989-01-20,2023-08-31,0,60.0,1.0,1630.0,med
0271-PBDWI,2024-12-04,Refferal,2025-12-04,Premium,Annual,,,12.99,2353,43,0,keshav,Australia,NSW,Male,1981-02-13,2025-07-31,1,80.0,1.0,634.0,low
0272-HBRIU,2023-03-07,Paid,2025-03-06,Standard,Monthly,2025-04-11,Too expensive,6.99,1469,91,1,kavya,USA,Texas,Female,1983-03-23,,0,,,766.0,high
0273-GMQAE,2022-08-15,Organic,2026-08-14,Premium,Monthly,,,9.99,1668,47,0,sophia,Canada,Quebec,Female,1972-07-14,2026-06-02,1,60.0,1.0,1476.0,low
0274-VCADO,2024-11-03,Paid,2027-11-03,Premium,Annual,,,12.99,642,26,0,neha,Canada,Ontario,Female,1981-04-10,2027-07-08,1,20.0,1.0,665.0,low
0275-KZEON,2020-03-22,Paid,2021-03-22,Standard,Monthly,,,12.99,2359,62,0,vikram,India,Maharashtra,Male,1996-05-27,2020-08-01,1,60.0,1.0,2352.0,med
0276-DKQFA,2020-09-29,Refferal,2021-09-29,Basic,Annual,2021-10-14,Too expensive,19.99,793,84,1,divya,Canada,Quebec,Female,1986-10-10,2020-12-23,0,20.0,1.0,380.0,high
0277-XFAXP,2020-09-10,Paid,2021-09-10,Standard,Monthly,2021-10-03,Too expensive,13.99,1690,98,1,priya,India,Maharashtra,Female,1993-06-09,2021-07-31,0,20.0,1.0,388.0,high
0278-NNOAQ,2020-03-20,Refferal,2021-03-20,Standard,Monthly,,,13.99,1546,57,0,sneha,Germany,Berlin,Female,1971-11-01,2020-06-06,0,100.0,1.0,2354.0,med
0279-FAICK,2021-10-21,Organic,2022-10-21,Standard,Monthly,,,6.99,984,96,0,meera,Australia,Victoria,Female,1987-05-17,,0,,,1774.0,high
0280-BFYWT,2020-03-08,Paid,2021-03-08,Standard,Monthly,,,6.99,2669,21,0,meera,USA,California,Female,1971-03-03,,0,,,2366.0,low
0281-DCMYY,2023-04-18,Refferal,2024-04-17,Basic,Annual,,,13.99,2351,50,0,arjun,Canada,Ontario,Male,1971-10-27,2023-11-03,1,100.0,1.0,1230.0,med
0282-VAYID,2024-05-23,Paid,2026-05-23,Premium,Annual,,,19.99,1878,38,0,aarav,Germany,Berlin,Male,1984-02-11,2025-10-04,0,60.0,1.0,829.0,low
0283-VFZMA,2020-05-18,Paid,2022-05-18,Basic,Annual,,,6.99,1141,99,0,ananya,Germany,Berlin,Female,1972-08-27,2022-03-03,1,10.0,1.0,2295.0,high
0284-ZZHCE,2023-08-18,Refferal,2024-08-17,Basic,Monthly,,,19.99,1700,11,0,vikram,USA,California,Male,1995-03-09,2024-03-31,1,60.0,1.0,1108.0,low
0285-FDWGZ,2022-08-05,Organic,2024-08-04,Standard,Monthly,2024-08-26,Switched to competitor,6.99,2692,86,1,manish,Australia,NSW,Male,1983-09-25,2024-03-18,0,80.0,1.0,752.0,high
0286-ZGWPN,2024-06-08,Organic,2027-06-08,Premium,Annual,,,19.99,2426,38,0,rohan,Germany,Bavaria,Male,1973-10-19,2026-12-16,1,20.0,1.0,813.0,low
0287-PTOFF,2020-01-21,Organic,2024-01-20,Premium,Annual,,,9.99,2674,40,0,ananya,India,Karnataka,Female,1998-02-26,2023-04-26,1,80.0,1.0,2413.0,low
0288-PVPSP,2022-09-22,Organic,2024-09-21,Standard,Annual,,,12.99,775,33,0,sneha,Canada,Ontario,Female,1974-10-12,2024-02-14,1,80.0,1.0,1438.0,low
0289-FEWPG,2021-05-07,Paid,2023-05-07,Premium,Monthly,,,12.99,1182,95,0,meera,India,Delhi,Female,2001-03-12,2022-09-15,1,10.0,1.0,1941.0,high
0290-JGSZA,2020-01-22,Refferal,2021-01-21,Standard,Annual,,,9.99,1304,72,0,emily,Germany,Bavaria,Female,1990-07-05,2020-12-04,0,80.0,1.0,2412.0,high
0291-KLDGR,2020-01-04,Paid,2024-01-03,Premium,Annual,2024-01-27,Moved away,19.99,1226,82,1,pooja,USA,Florida,Female,1994-05-10,,0,,,1484.0,high
0292-UBBZP,2022-02-12,Paid,2024-02-12,Standard,Monthly,,,9.99,1695,69,0,emily,India,Karnataka,Female,1987-06-24,,0,,,1660.0,med
0293-UQNLX,2023-01-22,Paid,2027-01-21,Standard,Annual,,,13.99,258,54,0,daniel,Australia,NSW,Male,1992-11-01,2026-10-18,0,10.0,1.0,1316.0,med
0294-UIZLE,2022-12-12,Paid,2024-12-11,Basic,Annual,2025-01-15,Moved away,6.99,512,77,1,pooja,Germany,Bavaria,Female,1982-11-04,2024-09-07,0,10.0,1.0,765.0,high
0295-RXISB,2024-10-01,Paid,2027-10-01,Standard,Annual,,,19.99,2693,5,0,james,India,Maharashtra,Male,1970-02-17,2027-06-22,1,40.0,1.0,698.0,low
0296-QVQUL,2020-10-03,Refferal,2021-10-03,Standard,Annual,,,9.99,1558,49,0,manish,Australia,Victoria,Male,1979-04-07,2021-04-26,1,40.0,1.0,2157.0,low
0297-OWSVK,2023-05-20,Organic,2027-05-19,Basic,Annual,2027-06-18,Too expensive,19.99,638,95,1,sneha,Australia,Victoria,Female,1972-07-04,,0,,,1490.0,high
0298-GCUAC,2021-09-05,Refferal,2025-09-04,Premium,Annual,,,12.99,1524,36,0,vikram,Germany,Bavaria,Male,1971-09-15,,0,,,1820.0,low
0299-YAOBK,2023-02-18,Organic,2026-02-17,Basic,Annual,2026-02-18,Too expensive,19.99,2593,78,1,meera,Canada,Quebec,Female,1988-12-21,2025-10-25,1,80.0,1.0,1096.0,high
